display,name,revenue_mln,avg_price,parent_category,full_path,issues,fix_action
Ароматические попурри,Ароматические попурри,0.0,693.0,Дом,Дом/Парфюмерия для дома/Воск ароматический,zero_revenue,Мёртвая ниша
Продукты / Сашими,Сашими,0.0,818.0,Продукты,Продукты/Готовая еда/Роллы и суши/Сашими,zero_revenue,Мёртвая ниша
Жидкие средства для стирки,Жидкие средства для стирки,0.0,549.5,Дом,Дом/Бытовая химия/Средства для стирки/Гель для стирки,zero_revenue,Мёртвая ниша
Детям / Коляски-люльки,Коляски-люльки,0.0,15000.0,Детям,Детям/Прогулки и путешествия/Коляски/Коляски-люльки,zero_revenue,Мёртвая ниша
Красота,Красота,0.0,0.0,Красота,Красота,"zero_revenue, no_price",Мёртвая ниша
Отражатели для нивелиров,Отражатели для нивелиров,0.0,369.0,Для ремонта,Для ремонта/Инструменты и оснастка/Измерительные приборы/Комплектующие для лазерного уровня и нивелира,zero_revenue,Мёртвая ниша
Электроника / Цифровые ручки,Цифровые видеокурсы,0.0,370.0,Электроника,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Цифровые ручки",zero_revenue,Мёртвая ниша
Удобрения для комнатных растений,Удобрения для комнатных растений,0.0,360.0,Сад и дача,Сад и дача/Удобрения и уход за растениями/Удобрения/Удобрение для растений,zero_revenue,Мёртвая ниша
Женщинам / Свечи,Фитосвечи,0.0,312.0,Женщинам,Женщинам/Подарки женщинам/Для дома/Свечи,zero_revenue,Мёртвая ниша
Биттер,Биттер,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",Мёртвая ниша (нет пути)
