display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Игрушки / Неваляшки,Неваляшки,"25,627,480",851,2850.0%,89.7%,61.6%,421
Для ремонта / Полок для бани,Полок для бани,"25,516,789","2,464",2850.0%,100.0%,68.1%,131
Дом / Парты детские,Парты детские,"25,500,916","14,490",2650.0%,87.7%,72.9%,75
Спорт / Круги для плавания,Круги полировальные,"25,484,409",772,3050.0%,88.5%,57.9%,810
Разделители для пальцев,Разделители для пальцев,"25,481,770",504,3200.0%,94.1%,49.7%,570
Дом / Флагштоки,Флагштоки,"25,467,899",939,3250.0%,81.4%,58.5%,286
Сад и дача / Фасады мебельные,Фасады мебельные,"25,466,035","1,519",2650.0%,55.6%,66.7%,132
Тележки гидравлические,Тележки гидравлические,"25,459,701","3,817",3050.0%,97.4%,63.8%,39
Приводы стеклоочистителя,Приводы стеклоочистителя,"25,444,220","1,932",2650.0%,100.0%,68.7%,87
Матрасы для автомобилей,Матрасы для автомобилей,"25,430,242","1,926",2650.0%,82.3%,68.4%,341
Электроника / Ленты для принтера,Ленты для принтера,"25,403,382",884,2450.0%,92.3%,66.7%,171
Электроника / Колонки компьютерные,Колонки компьютерные,"25,383,159","1,798",2450.0%,100.0%,70.5%,223
Спорт / Штанги,Штанги,"25,361,023","1,638",2750.0%,82.8%,67.5%,55
Основания для кроватей,Основания для кроватей,"25,339,873",977,2650.0%,88.1%,66.8%,145
Автотовары / Присадки в топливо,Присадки в топливо,"25,277,564",973,2650.0%,94.6%,63.8%,321
Запчасти для оборудования общепита,Запчасти для оборудования общепита,"25,266,656",982,2550.0%,75.0%,65.1%,200
Корзины баскетбольные,Корзины баскетбольные,"25,218,383","1,519",2750.0%,81.6%,66.2%,404
Автотовары / Стяжки пружин,Стяжки пружин,"25,202,926","1,161",2650.0%,92.4%,65.1%,328
Дом / Половники,Половники,"25,200,408",679,2950.0%,82.6%,56.9%,911
Канцтовары / Короба архивные,Короба архивные,"25,194,321","1,466",2950.0%,84.8%,63.3%,250
Мужчинам / Жилеты,Жилеты для животных,"25,183,110",767,2150.0%,55.8%,62.8%,304
Комплектующие распределителей зажигания,Комплектующие распределителей зажигания,"25,176,400",876,2650.0%,77.8%,63.9%,155
Инструмент для вязки арматуры,Инструмент для вязки арматуры,"25,153,000",778,3150.0%,81.6%,57.3%,192
Продукты / Шампанское,Шампанское,"25,109,187","9,875",450.0%,70.0%,46.8%,4
Бытовая техника / Су-вид,Су-вид,"25,101,499","4,590",2450.0%,88.4%,73.6%,123
Настойки,Настойки,"25,069,062",399,450.0%,70.0%,17.9%,4
Сад и дача / Отпугиватели и ловушки садовые,Отпугиватели собак,"25,062,513",946,2150.0%,83.1%,68.5%,672
Бамперы автомобильные,Бамперы автомобильные,"25,055,145","1,572",2150.0%,100.0%,73.4%,109
Дом / Тесты воды и напитков,Тесты медицинские,"25,039,262",454,3200.0%,88.3%,47.0%,165
Спорт / Ящики рыболовные,Ящики рыболовные,"25,037,294",754,2950.0%,79.7%,59.6%,318
Для ремонта / Напольные покрытия,Покрытия для унитаза,"25,033,052",758,2950.0%,93.3%,60.9%,593
Звезды для мототехники,Звезды для мототехники,"25,020,317","2,104",2550.0%,68.1%,69.6%,247
Газораспределительные заслонки,Газораспределительные заслонки,"24,953,802","3,082",2650.0%,100.0%,70.1%,85
Комбинезоны одноразовые,Комбинезоны одноразовые,"24,948,660",820,2850.0%,87.4%,59.8%,190
Мужчинам / Термолонгсливы,Термолонгсливы,"24,936,979","1,017",3450.0%,54.8%,51.5%,141
Автотовары / Колпачки для шин,Колпачки для шин,"24,883,511",457,2650.0%,84.5%,51.3%,720
Для ремонта / Маски паяльные,Флюсы паяльные,"24,863,839",564,3050.0%,93.1%,55.0%,435
Подогреватели детского питания,Подогреватели детского питания,"24,840,098","2,356",2650.0%,84.2%,70.0%,464
Дом / Магнитные держатели,Магнитные держатели,"24,804,553",709,2650.0%,89.9%,60.4%,680
Запчасти для сушильных машин,Запчасти для сушильных машин,"24,802,134","1,606",2800.0%,86.5%,65.7%,211
Куртки сноубордические,Куртки сноубордические,"24,761,634","9,487",3450.0%,70.0%,60.2%,41
Автотовары / Съемники,Съемники хомутов,"24,717,906",863,3150.0%,88.9%,59.4%,240
Электроприводы для клапанов,Электроприводы для клапанов,"24,712,212","1,945",2650.0%,100.0%,65.1%,91
Игрушки / Прыгуны,Прыгуны,"24,711,926","1,370",2850.0%,84.1%,65.0%,429
Сад и дача / Панно для бани,Панно для бани,"24,683,398","1,222",2850.0%,90.4%,64.6%,258
Крестильные комплекты,Крестильные комплекты,"24,676,258","1,021",3450.0%,56.0%,58.7%,104
Продукты / Паштеты,Паштеты,"24,666,667",655,2150.0%,96.1%,66.1%,142
Порошки для посудомоечных машин,Порошки для посудомоечных машин,"24,644,968","1,335",2950.0%,95.3%,62.8%,189
Амортизаторы для мототехники,Амортизаторы для мототехники,"24,612,728","1,415",2650.0%,67.1%,67.1%,188
Пуходерки,Пуходерки,"24,555,630",565,2150.0%,83.6%,62.5%,458
Дом / Насосы для шариков,Насосы для шариков,"24,548,633",716,3250.0%,85.6%,55.6%,374
Мужчинам / Бандалетки,Бандалетки,"24,531,116",621,3450.0%,50.0%,48.5%,75
Дом / Подставки для ног,Подставки для ног,"24,488,775","1,742",2650.0%,83.7%,68.2%,343
Канцтовары / Скрепки,Скрепки,"24,482,713",522,2450.0%,92.2%,59.6%,363
Спорт / Подсачники,Подсачники,"24,461,180","1,110",2750.0%,86.6%,64.8%,304
Спорт / Подшипник,Подшипники,"24,410,511",812,2750.0%,83.2%,61.3%,344
Аксессуары / Шапки,Шапки для животных,"24,392,933",563,2150.0%,49.6%,54.3%,358
Дом / Ростовые фигуры,Ростовые фигуры,"24,378,167","1,369",3250.0%,60.2%,60.5%,150
Продукты / Гранола,Гранола,"24,367,928",690,2150.0%,92.8%,65.8%,89
Автотовары / FM-трансмиттеры,FM-трансмиттеры,"24,360,434","1,358",2650.0%,83.8%,66.9%,531
Канцтовары / Резаки для бумаги,Резаки газовые,"24,358,149","2,794",3050.0%,80.0%,66.5%,92
Для ремонта / Пирометр,Пирометры,"24,325,078",768,3150.0%,94.4%,58.2%,219
Корпуса для накопителей,Корпуса для накопителей,"24,304,270",774,2450.0%,94.7%,65.3%,319
Комплектующие для генераторов,Комплектующие для генераторов,"24,287,860","1,542",2850.0%,100.0%,63.9%,186
Дом / Мешки для стирки,Мешки для стирки,"24,283,750",634,2950.0%,94.2%,57.9%,1026
Дом / Гитарные процессоры,Гитарные процессоры,"24,281,720",974,2850.0%,53.8%,62.5%,96
Сад и дача / Совки садовые,Совки садовые,"24,281,341",561,2450.0%,90.2%,62.8%,602
Канцтовары / Зажимы для бумаги,Зажимы для бумаги,"24,278,117",586,2450.0%,93.3%,61.9%,402
Автотовары / Губки для автомобиля,Губки для автомобиля,"24,257,897",585,2150.0%,92.4%,63.8%,758
